Name,samAccountName,ParentOU
PC221-01,PC221-01,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-02,PC221-02,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-03,PC221-03,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-04,PC221-04,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-05,PC221-05,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-06,PC221-06,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-07,PC221-07,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-08,PC221-08,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-09,PC221-09,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-11,PC221-11,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-12,PC221-12,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-13,PC221-13,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-14,PC221-14,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-15,PC221-15,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-16,PC221-16,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-17,PC221-17,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-18,PC221-18,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-19,PC221-19,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-20,PC221-20,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-21,PC221-21,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-22,PC221-22,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-23,PC221-23,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-24,PC221-24,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-25,PC221-25,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-26,PC221-26,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-27,PC221-27,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-28,PC221-28,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-29,PC221-29,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"
PC221-30,PC221-30,"OU=room221,OU=pecpSupportPCs,DC=cs,DC=pec"